date,industry,trips_per_day,farebox_per_day,unique_drivers,unique_vehicles,vehicles_per_day,avg_days_vehicles_on_road,avg_hours_per_day_per_vehicle,avg_days_drivers_on_road,avg_hours_per_day_per_driver,percent_of_trips_paid_with_credit_card,trips_per_day_shared,total_trips,passenger_count,avg_trip_distance,avg_trip_duration,total_amount,shared_match_flag,days_in_month,farebox_per_day_per_distance,total_co2_emission
2023-06-01,FHV - High Volume,645549,14878766.12,81025,77565,55701,21.5,6.5,21.1,6.4,,4201.0,19366470,,4.12,20.09,446362983.63,126030.0,30,3609731.9248,31930.2578
2023-06-01,FHV - Other,41546,,14328,13338,6864,14.67,3.9,14.43,3.73,,,1246380,,4.73,25.67,,,30,,2359.6083
2023-06-01,Green Taxi,2184,48844.0,889,855,479,16.8,3.6,16.4,3.5,0.69,278.8333333333333,65520,74962.0,2.97,15.28,1465320.0,8365.0,30,16434.7015,77.8903
2023-06-01,Yellow Taxi,109766,2802472.0,11736,8384,7171,25.7,8.4,21.5,7.2,0.81,23987.266666666666,3292980,4260916.0,2.96,16.59,84074160.0,719618.0,30,946224.8403,3901.1803
2023-07-01,FHV - High Volume,617161,13524470.94,80592,77346,53969,21.6,6.4,21.2,6.3,,4795.0,19131991,,4.16,19.35,419258598.99,148645.0,31,3249246.6124,31853.5448
2023-07-01,FHV - Other,44167,,15658,14675,7350,14.2,3.8,14.07,3.63,,,1369177,,4.38,24.45,,,31,,2397.1472
2023-07-01,Green Taxi,1978,43964.0,882,850,464,16.9,3.4,16.5,3.4,0.67,261.03225806451616,61318,70362.0,3.01,14.58,1362884.0,8092.0,31,14625.3713,73.729
2023-07-01,Yellow Taxi,93315,2347673.0,11396,8306,6811,25.4,7.9,21.5,6.8,0.79,21884.967741935485,2892765,3840944.0,3.0,15.9,72777863.0,678434.0,31,781383.062,3476.5362
2023-08-01,FHV - High Volume,591032,12879519.95,80823,77520,54179,21.7,6.4,21.3,6.2,,4485.0,18321992,,4.28,19.63,399265118.35,139035.0,31,3006262.6626,31398.2493
2023-08-01,FHV - Other,46597,,15663,14569,7555,15.1,3.97,14.8,3.83,,,1444507,,4.94,25.42,,,31,,2852.7421
2023-08-01,Green Taxi,1957,44903.0,886,853,471,17.1,3.4,16.7,3.4,0.68,261.93548387096774,60667,70243.0,3.08,14.8,1391993.0,8120.0,31,14576.1844,74.7556
2023-08-01,Yellow Taxi,90485,2282461.0,11442,8341,6933,25.8,7.8,21.7,6.7,0.79,20505.612903225807,2805035,3673369.0,3.08,15.92,70756291.0,635674.0,31,740162.1565,3459.9894
2023-09-01,FHV - High Volume,661698,15454773.96,82812,79448,56923,21.5,6.6,21.1,6.5,,5991.0,19850940,,4.13,20.95,463643218.81,179730.0,30,3742872.6926,32786.7727
