Unnamed: 0,date,industry,trips_per_day,total_co2_emission,vehicles_per_day,total_trips,total_amount,farebox_per_day_per_distance,farebox_per_day,unique_vehicles,avg_trip_distance
128,2023-09-01,FHV - High Volume,661698,32786.7727,56923,19850940,463643218.81,3742872.6926,15454773.96,79448,4.13
130,2023-09-01,Green Taxi,2181,81.9414,485,65430,1577100.0,16790.8032,52570.0,855,3.13
129,2023-09-01,FHV - Other,43811,2554.525,7387,1314330,,,,14609,4.86
132,2023-10-01,FHV - High Volume,651179,33309.6377,58055,20186549,478751237.49,3743694.2981,15443588.31,80346,4.13
133,2023-10-01,FHV - Other,59978,3407.1054,9725,1859318,,,,18766,4.58
534,2023-10-01,total industrias,826251,40837.9409,75819,25613781,569803817.49,4760834.1562,18380768.310000002,108635,14.49
134,2023-10-01,Green Taxi,2135,76.3835,491,66185,1493549.0,16698.5137,48179.0,861,2.89
135,2023-10-01,Yellow Taxi,112959,4044.8143,7548,3501729,89559031.0,1000441.3444,2889001.0,8662,2.89
550,2023-11-01,total industrias,811470,38268.334,76306,24344100,522414246.05,4589246.165,17413808.2,108680,14.09
136,2023-11-01,FHV - High Volume,642308,31513.1292,58734,19269240,437688216.05,3568425.6054,14589607.2,80871,4.09
137,2023-11-01,FHV - Other,56386,3011.1053,9464,1691580,,,,18221,4.45
138,2023-11-01,Green Taxi,2133,71.0324,486,63990,1404420.0,16869.0674,46814.0,837,2.78
139,2023-11-01,Yellow Taxi,110643,3673.0671,7622,3319290,83321610.0,1003951.4922,2777387.0,8751,2.77
566,2023-12-01,total industrias,822917,39766.96859999999,74958,25510427,561948214.37,4802480.4216,18127361.75,109399,13.89
140,2023-12-01,FHV - High Volume,661815,33305.8377,58687,20516265,476500310.37,3787384.7294,15370977.75,82379,4.06
141,2023-12-01,FHV - Other,50829,2747.9754,8251,1575699,,,,17354,4.36
142,2023-12-01,Green Taxi,2071,71.0028,469,64201,1422776.0,16599.7425,45896.0,825,2.76
143,2023-12-01,Yellow Taxi,108202,3642.1527,7551,3354262,84025128.0,998495.9497,2710488.0,8841,2.71
144,2024-01-01,FHV - High Volume,634329,30172.3634,57144,19664199,419748871.34,3529837.9318,13540286.17,83785,3.84
582,2024-01-01,total industrias,781013,36035.5734,73441,24211403,489686514.34,4391663.9191,15796339.17,112001,13.44
145,2024-01-01,FHV - Other,50118,2728.7431,8651,1553658,,,,18624,4.39
146,2024-01-01,Green Taxi,1824,58.5042,424,56544,1147868.0,14314.9382,37028.0,797,2.59
147,2024-01-01,Yellow Taxi,94742,3075.9627,7222,2937002,68789775.0,847511.0491,2219025.0,8795,2.62
150,2024-02-01,Green Taxi,1847,56.2904,419,53563,1095881.0,14383.2071,37789.0,769,2.63
149,2024-02-01,FHV - Other,51251,2626.5023,8946,1486279,,,,17578,4.42
151,2024-02-01,Yellow Taxi,102708,3132.5143,7449,2978532,69303620.0,908923.063,2389780.0,8805,2.63
148,2024-02-01,FHV - High Volume,667560,30552.0927,59104,19359240,417112150.33,3645542.5774,14383177.6,83713,3.95
598,2024-02-01,total industrias,823366,36367.3997,75918,23877614,487511651.33,4568848.8475,16810746.6,110865,13.629999999999999
153,2024-03-01,FHV - Other,53366,3018.5488,9110,1654346,,,,17679,4.56
152,2024-03-01,FHV - High Volume,686479,33508.2138,60502,21280849,481770349.64,3947989.9392,15540979.02,83966,3.94
154,2024-03-01,Green Taxi,1853,60.3084,418,57443,1187424.0,14593.6285,38304.0,750,2.62
614,2024-03-01,total industrias,856051,40427.109599999996,77728,26537581,567623113.64,4971087.5525,18310423.02,111315,13.829999999999998
155,2024-03-01,Yellow Taxi,114353,3840.0386,7698,3544943,84665340.0,1008503.9848,2731140.0,8920,2.71
159,2024-04-01,Yellow Taxi,115813,3847.1958,7823,3474390,84091110.0,1012565.4406,2803037.0,9050,2.77
156,2024-04-01,FHV - High Volume,657765,31857.8272,59194,19732950,448419948.77,3703390.6352,14947331.63,83683,4.04
158,2024-04-01,Green Taxi,1879,60.2672,405,56370,1183590.0,14760.7013,39453.0,713,2.67
157,2024-04-01,FHV - Other,52127,2959.4612,8772,1563810,,,,17208,4.73
630,2024-04-01,total industrias,827584,38724.7514,76194,24827520,533694648.77,4730716.7771,17789821.630000003,110654,14.21
160,2024-05-01,FHV - High Volume,667886,34406.5904,60900,20704466,488391446.01,3792178.2498,15754562.77,83944,4.15
161,2024-05-01,FHV - Other,50949,3152.2102,8554,1579419,,,,17119,4.99
162,2024-05-01,Green Taxi,1946,66.3966,424,60326,1331698.0,15612.1461,42958.0,719,2.75
163,2024-05-01,Yellow Taxi,118819,4184.658,8052,3683389,92128125.0,1046352.8048,2971875.0,9121,2.84
646,2024-05-01,total industrias,839600,41809.8552,77930,26027600,581851269.01,4854143.2007,18769395.77,110903,14.73
662,2024-06-01,total industrias,838303,40379.1117,75298,25149090,559783688.01,4815468.3489,18659456.27,109622,14.64
166,2024-06-01,Green Taxi,1805,60.8091,399,54150,1211250.0,14381.4295,40375.0,713,2.81
165,2024-06-01,FHV - Other,48954,2845.6943,8156,1468620,,,,16939,4.84
167,2024-06-01,Yellow Taxi,116772,3946.4245,7945,3503160,86322180.0,1021685.6971,2877406.0,9146,2.82
164,2024-06-01,FHV - High Volume,670772,33526.1838,58798,20123160,472250258.01,3779401.2223,15741675.27,82824,4.17
168,2024-07-01,FHV - High Volume,618802,32231.5815,56458,19182862,432929941.32,3324663.5885,13965481.98,81319,4.2
169,2024-07-01,FHV - Other,46737,2787.3293,7385,1448847,,,,15429,4.81
170,2024-07-01,Green Taxi,1658,58.5968,394,51398,1145698.0,12967.0271,36958.0,712,2.85
171,2024-07-01,Yellow Taxi,97929,3526.422,7779,3035799,75128097.0,834525.1156,2423487.0,9144,2.9
678,2024-07-01,total industrias,765126,38603.9296,72016,23718906,509203736.32,4172155.7312000003,16425926.98,106604,14.76
173,2024-08-01,FHV - Other,47825,2895.5106,8831,1482575,,,,19783,4.88
175,2024-08-01,Yellow Taxi,94732,3493.7588,7822,2936692,73180336.0,793703.2743,2360656.0,9125,2.97
174,2024-08-01,Green Taxi,1654,61.3111,394,51274,1197592.0,12923.0574,38632.0,694,2.99
172,2024-08-01,FHV - High Volume,617043,32427.8949,55030,19128333,439289790.54,3343549.6348,14170638.4,80570,4.24
694,2024-08-01,total industrias,761254,38878.475399999996,72077,23598874,513667718.54,4150175.9665,16569926.4,110172,15.08
