inventory_type,sectors_sector,category_full,category_label,source_full,source_label,source_units,year,emission_tco2e
GPC,Transportation,Marine Navigation,Marine Navigation,Diesel - marine navigation,Marine diesel,gallon,2013,89396.32
GPC,Transportation,Marine Navigation,Marine Navigation,Biofuel,Biofuel,gallon,2013,0
GPC,Transportation,Aviation,Aviation,Jet fuel - aviation,Jet fuel,gallon,2013,1765.83
GPC,Waste,Landfills,Landfills,Exported solid waste - landfills,CH4,MT,2013,1889692.29
GPC,Waste,Biological treatment,Biological treatment,CH4 and N2O - composting,CH4 and N2O from composting,MT,2013,3937.71
GPC,Waste,Wastewater treatment,Wastewater treatment,CH4 - wastewater treatment plants,CH4,MT,2013,184713.04
GPC,Waste,Wastewater treatment,Wastewater treatment,N2O - wastewater treatment plants,N2O,MT,2013,68074.01
GPC,Transportation,On-Road,On-Road,Passenger cars,Passenger cars,VMT,2013,11931734.6
GPC,Transportation,On-Road,On-Road,Medium duty trucks,Medium duty trucks,VMT,2013,398914.43
GPC,Transportation,On-Road,On-Road,Heavy duty trucks,Heavy duty trucks,VMT,2013,1329090
GPC,Transportation,On-Road,On-Road,SWCV,SWCV,VMT,2013,67098.07
GPC,Transportation,On-Road,On-Road,School Bus,School Bus,VMT,2013,63785.93
CLCPA Addition,Transportation,On-Road,On-Road,Passenger cars,Passenger cars,VMT,2013,0
CLCPA Addition,Transportation,On-Road,On-Road,Medium duty trucks,Medium duty trucks,VMT,2013,862.9
CLCPA Addition,Transportation,On-Road,On-Road,SWCV,SWCV,VMT,2013,0
CLCPA Addition,Transportation,On-Road,On-Road,Heavy duty trucks,Heavy duty trucks,VMT,2013,0
GPC,Transportation,On-Road,On-Road,Bus,Bus,VMT,2013,567108.79
CLCPA Addition,Transportation,On-Road,On-Road,Bus,Bus,VMT,2013,40033.78
GPC,Stationary Energy,Residential (small and large residential),Residential,#2 fuel oil,#2 fuel oil,gallon,2014,1272380.74
GPC,Stationary Energy,Residential (small and large residential),Residential,#4 fuel oil,#4 fuel oil,gallon,2014,589794.17
GPC,Stationary Energy,Residential (small and large residential),Residential,#6 fuel oil,#6 fuel oil,gallon,2014,308996.85
GPC,Stationary Energy,Residential (small and large residential),Residential,Biofuel,Biofuel,gallon,2014,44.42
GPC,Stationary Energy,Residential (small and large residential),Residential,Electricity,Electricity,kWh,2014,4915571.04
GPC,Stationary Energy,Residential (small and large residential),Residential,Natural gas,Natural gas,SCF,2014,9822759.09
GPC,Stationary Energy,Residential (small and large residential),Residential,Steam,Steam,kg,2014,322741.27
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Electricity,Upstream Electricity,kWh,2014,0
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Steam,Upstream Steam,kg,2014,0
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Natural gas,Upstream Natural gas,SCF,2014,0
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Downstream Natural gas,Downstream Natural gas,SCF,2014,0
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,#2 fuel oil,#2 fuel oil,gallon,2014,721014.51
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,#4 fuel oil,#4 fuel oil,gallon,2014,105265.71
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,#6 fuel oil,#6 fuel oil,gallon,2014,37917
